sample_id,rms_acceleration_mps2,dominant_frequency_hz,peak_acceleration_mps2,vibration_hazard_label
SIM_VIB_00054,0.19775,2.6682,0.55231,0
SIM_VIB_00055,0.16841,7.5847,0.42328,0
SIM_VIB_00056,0.74345,14.873,2.12128,1
SIM_VIB_00057,0.27181,6.6284,0.62398,0
SIM_VIB_00058,0.65046,30.6195,2.04834,1
SIM_VIB_00059,0.14697,10.1019,0.71319,0
SIM_VIB_00060,0.6073,33.9677,1.86269,1
SIM_VIB_00061,0.81004,19.0798,1.9581,1
SIM_VIB_00062,0.11332,7.0604,0.44556,0
SIM_VIB_00063,1.91711,42.0207,6.20218,1
SIM_VIB_00064,0.65419,26.3991,1.85774,1
SIM_VIB_00065,0.15803,6.327,0.76575,0
SIM_VIB_00066,0.24042,14.9209,0.61882,0
SIM_VIB_00067,0.34895,9.3052,0.89486,0
SIM_VIB_00068,0.23484,13.4876,0.57031,0
SIM_VIB_00069,0.26079,9.5929,0.71634,0
SIM_VIB_00070,0.25423,8.305,0.7823,0
SIM_VIB_00071,0.20706,8.0524,0.49864,0
SIM_VIB_00072,0.79007,19.696,1.9464,1
SIM_VIB_00073,0.34362,7.2128,0.8403,0
SIM_VIB_00074,0.25258,6.8742,0.55313,0
SIM_VIB_00075,0.6552,26.7037,1.66625,1
SIM_VIB_00076,0.33737,9.1247,0.79168,0
SIM_VIB_00077,0.20038,9.3661,0.64948,0
SIM_VIB_00078,0.18331,10.6611,0.64136,0
SIM_VIB_00079,0.2286,7.1497,0.60746,0
SIM_VIB_00080,0.41363,1.0,0.88505,0
SIM_VIB_00081,1.05858,37.1375,2.27352,1
SIM_VIB_00082,0.91953,33.3338,2.8109,1
SIM_VIB_00083,0.5451,22.6367,1.7277,1
SIM_VIB_00084,0.31647,5.9009,0.75136,0
SIM_VIB_00085,0.38281,5.6446,0.72894,0
SIM_VIB_00086,1.6032,63.7219,5.28437,1
SIM_VIB_00087,0.19973,14.6801,0.57821,0
SIM_VIB_00088,0.67926,23.0653,1.46353,1
SIM_VIB_00089,0.23416,3.4801,0.56976,0
SIM_VIB_00090,0.17386,6.853,0.64106,0
SIM_VIB_00091,0.13311,9.3118,0.43762,0
SIM_VIB_00092,0.23268,5.4996,0.5386,0
SIM_VIB_00093,1.89263,38.2551,5.79212,1
SIM_VIB_00094,0.26661,4.8376,0.60672,0
SIM_VIB_00095,0.21891,10.3052,0.54551,0
SIM_VIB_00096,0.25,23.9492,1.57252,1
SIM_VIB_00097,0.31517,6.3238,0.83492,0
SIM_VIB_00098,0.1256,5.8984,0.43213,0
SIM_VIB_00099,0.17732,10.6752,0.49469,0
SIM_VIB_00100,0.20764,13.2083,0.63704,0
SIM_VIB_00101,0.26338,9.6802,0.7708,0
SIM_VIB_00102,0.28975,7.8114,0.91145,0
SIM_VIB_00103,0.65,51.8008,3.24085,1
SIM_VIB_00104,0.22716,12.3514,0.57871,0
SIM_VIB_00105,0.12806,9.8,0.56026,0
SIM_VIB_00106,0.71771,22.0104,1.82386,1
SIM_VIB_00107,0.23721,13.1455,0.80103,0
SIM_VIB_00108,0.25029,13.4167,0.57173,0
SIM_VIB_00109,0.3747,13.5651,0.67508,0
SIM_VIB_00110,0.17036,11.9308,0.60894,0
SIM_VIB_00111,0.0684,4.9852,0.13753,0
SIM_VIB_00112,1.55683,35.583,4.52766,1
SIM_VIB_00113,0.25998,14.1484,0.7731,0
SIM_VIB_00114,0.17134,8.7441,0.46946,0
SIM_VIB_00115,0.21362,3.7109,0.56266,0
SIM_VIB_00116,0.2243,10.5316,0.49564,0
SIM_VIB_00117,0.14303,1.0,0.92741,0
SIM_VIB_00118,0.20377,11.444,0.61197,0
SIM_VIB_00119,0.23629,10.5893,0.7374,0
SIM_VIB_00120,0.1993,8.6952,0.68506,0
SIM_VIB_00121,0.23364,8.61,0.55914,0
SIM_VIB_00122,0.18372,9.5385,0.64194,0
SIM_VIB_00123,0.77146,22.6016,1.65371,1
SIM_VIB_00124,1.32597,24.3671,3.79554,1
SIM_VIB_00125,1.13006,15.1407,2.99625,1
SIM_VIB_00126,1.40179,35.0259,4.6498,1
SIM_VIB_00127,0.25432,11.684,0.78346,0
SIM_VIB_00128,0.16907,14.5582,0.47075,0
SIM_VIB_00129,0.52135,8.9123,1.50684,1
SIM_VIB_00130,0.09464,15.5089,0.25703,0
SIM_VIB_00131,0.6719,28.7039,1.82334,1
SIM_VIB_00132,0.30329,25.2655,2.22936,1
SIM_VIB_00133,0.11056,4.5792,0.38085,0
SIM_VIB_00134,0.37267,19.1144,2.13931,1
SIM_VIB_00135,0.03245,11.466,0.69569,0
SIM_VIB_00136,0.1201,8.8146,0.5959,0
SIM_VIB_00137,0.18045,10.8826,0.564,0
SIM_VIB_00138,0.23574,12.5809,0.73104,0
SIM_VIB_00139,0.18749,13.7624,0.62681,0
SIM_VIB_00140,0.2464,8.1167,0.59627,0
SIM_VIB_00141,0.31863,11.2536,0.8552,0
SIM_VIB_00142,0.078,10.2732,0.31434,0
SIM_VIB_00143,0.23913,7.5231,0.54977,0
SIM_VIB_00144,1.50365,30.5344,5.4697,1
SIM_VIB_00145,0.27245,11.2325,0.63167,0
SIM_VIB_00146,0.27915,10.2166,0.85796,0
SIM_VIB_00147,0.36227,12.5336,0.9255,0
SIM_VIB_00148,0.23907,14.3645,0.53468,0
SIM_VIB_00149,0.28648,11.154,0.61271,0
SIM_VIB_00150,0.41503,38.0437,1.99829,1
SIM_VIB_00151,0.17719,6.07,0.74501,0
SIM_VIB_00152,1.2796,33.6735,3.41848,1
SIM_VIB_00153,0.24023,11.9857,0.56713,0
SIM_VIB_00154,0.10343,9.2798,0.45401,0
SIM_VIB_00155,0.52301,35.8237,2.25037,1
SIM_VIB_00156,0.13276,18.7912,0.30836,0
SIM_VIB_00157,0.28445,7.1126,0.63653,0
SIM_VIB_00158,0.6569,23.1701,2.00682,1
SIM_VIB_00159,0.25654,6.467,0.51916,0
SIM_VIB_00160,0.16795,7.1523,0.52064,0
SIM_VIB_00161,0.30073,9.6496,0.7849,0
SIM_VIB_00162,0.20107,9.4508,0.66278,0
SIM_VIB_00163,0.2328,10.8396,0.70257,0
SIM_VIB_00164,0.29955,3.1942,0.76802,0
SIM_VIB_00165,1.22165,53.4581,4.07037,1
SIM_VIB_00166,0.7088,23.8957,1.51041,1
SIM_VIB_00167,0.12021,2.3944,0.53854,0
SIM_VIB_00168,0.24368,3.5275,0.80022,0
SIM_VIB_00169,0.50918,18.1633,1.90369,1
SIM_VIB_00170,0.7814,29.5965,2.59463,1
SIM_VIB_00171,0.29862,3.9126,0.84563,0
SIM_VIB_00172,0.22288,12.1483,0.76758,0
SIM_VIB_00173,0.10143,10.4464,0.5131,0
SIM_VIB_00174,1.16224,25.4119,3.72363,1
SIM_VIB_00175,1.51823,60.8273,4.93911,1
SIM_VIB_00176,0.67113,22.2356,2.03168,1
SIM_VIB_00177,0.75259,20.0892,2.08671,1
SIM_VIB_00178,2.14187,49.9471,4.59908,1
SIM_VIB_00179,0.23875,2.8502,0.59188,0
SIM_VIB_00180,1.19211,37.8839,3.04347,1
SIM_VIB_00181,0.20383,14.7134,0.67531,0
SIM_VIB_00182,0.56556,5.0,1.28944,1
SIM_VIB_00183,0.62296,14.2522,1.79559,1
SIM_VIB_00184,0.42668,26.3785,2.09447,1
SIM_VIB_00185,1.55927,28.5463,4.27056,1
SIM_VIB_00186,0.21,1.9608,0.43318,0
SIM_VIB_00187,0.82552,14.8063,2.25511,1
SIM_VIB_00188,0.16093,8.5801,0.47532,0
SIM_VIB_00189,0.08197,7.4088,0.30803,0
SIM_VIB_00190,0.12008,9.4097,0.66861,0
SIM_VIB_00191,0.05136,16.358,0.61327,0
SIM_VIB_00192,0.44424,15.4138,1.34068,1
SIM_VIB_00193,0.21776,9.6054,0.86083,0
SIM_VIB_00194,1.34038,12.0,3.87449,1
SIM_VIB_00195,0.23687,12.963,0.49123,0
SIM_VIB_00196,0.25881,4.2888,0.50738,0
SIM_VIB_00197,1.05283,52.4303,3.48173,1
SIM_VIB_00198,1.23913,69.6247,3.90324,1
SIM_VIB_00199,0.32591,22.3764,1.54274,1
SIM_VIB_00200,0.12976,5.9344,0.92596,0
SIM_VIB_00201,0.0412,8.4492,0.37242,0
SIM_VIB_00202,0.54172,15.3586,1.91378,1
SIM_VIB_00203,0.0915,14.6158,0.54323,0
SIM_VIB_00204,1.3118,70.2312,4.27287,1
SIM_VIB_00205,0.21304,1.2347,0.65101,0
SIM_VIB_00206,1.42916,29.7439,4.97893,1
SIM_VIB_00207,1.1356,19.6536,3.72998,1
SIM_VIB_00208,0.1947,3.7239,0.53522,0
SIM_VIB_00209,0.61816,20.5274,1.14571,1
SIM_VIB_00210,0.29154,6.2319,0.70243,0
SIM_VIB_00211,0.49486,29.0137,1.63157,1
SIM_VIB_00212,0.24313,14.7181,0.69221,0
SIM_VIB_00213,0.13719,9.1738,0.50845,0
SIM_VIB_00214,0.37483,9.2104,1.17666,0
SIM_VIB_00215,0.52785,11.2528,1.55119,1
SIM_VIB_00216,0.18991,12.5073,0.54865,0
SIM_VIB_00217,0.31835,6.6706,0.83424,0
SIM_VIB_00218,0.66071,19.236,1.49556,1
SIM_VIB_00219,0.69092,20.7836,2.24996,1
SIM_VIB_00220,0.30421,15.4617,0.9079,0
SIM_VIB_00221,1.19991,43.0969,5.44174,1
SIM_VIB_00222,0.41061,12.0647,1.26256,0
SIM_VIB_00223,1.77417,36.942,4.18586,1
SIM_VIB_00224,0.57847,26.2901,1.73536,1
SIM_VIB_00225,0.33193,4.4191,0.60808,0
SIM_VIB_00226,0.15868,6.9033,0.58015,0
SIM_VIB_00227,0.15467,15.4651,0.68795,0
SIM_VIB_00228,0.97655,15.8747,2.00325,1
SIM_VIB_00229,0.15807,10.415,0.53675,0
SIM_VIB_00230,0.17271,14.2317,0.53232,0
SIM_VIB_00231,0.24582,13.3028,0.76631,0
SIM_VIB_00232,0.28494,13.8985,0.69668,0
SIM_VIB_00233,0.88439,16.9766,2.36049,1
SIM_VIB_00234,0.49218,37.1024,1.48378,1
SIM_VIB_00235,0.24151,22.0841,0.75903,0
SIM_VIB_00236,0.67123,15.9447,1.93189,1
SIM_VIB_00237,0.3146,7.9682,0.66043,0
SIM_VIB_00238,0.21513,4.1856,0.6949,0
SIM_VIB_00239,0.70122,40.8811,1.25911,1
SIM_VIB_00240,2.02676,40.5602,4.54353,1
SIM_VIB_00241,1.02565,18.705,2.44631,1
SIM_VIB_00242,0.36565,9.0501,0.90322,0
SIM_VIB_00243,0.40648,8.4257,1.15359,0
SIM_VIB_00244,0.15279,14.3455,0.42054,0
SIM_VIB_00245,2.18966,39.4202,4.12431,1
SIM_VIB_00246,0.4451,9.1424,1.35862,1
SIM_VIB_00247,0.19106,13.0687,0.4824,0
SIM_VIB_00248,0.14245,7.0614,0.34406,0
SIM_VIB_00249,0.62574,20.2302,2.09817,1
SIM_VIB_00250,0.34016,13.1956,1.02037,0
SIM_VIB_00251,0.25078,11.0476,0.81871,0
SIM_VIB_00252,1.67803,44.8805,4.97217,1
SIM_VIB_00253,0.23874,11.0306,0.85709,0
SIM_VIB_00254,0.09258,9.6061,0.60857,0
SIM_VIB_00255,0.14588,12.3847,0.54091,0
SIM_VIB_00256,1.24926,48.1637,5.28089,1
SIM_VIB_00257,0.17557,15.5709,0.42737,0
SIM_VIB_00258,0.223,11.2352,0.46489,0
SIM_VIB_00259,1.0686,42.2638,3.65295,1
SIM_VIB_00260,0.11784,4.9678,0.64216,0
SIM_VIB_00261,0.36876,6.3269,0.7445,0
SIM_VIB_00262,0.25698,6.2908,0.72397,0
SIM_VIB_00263,0.34935,11.5766,1.00033,0
SIM_VIB_00264,0.17764,8.3217,0.64564,0
SIM_VIB_00265,0.20692,8.8004,0.66272,0
SIM_VIB_00266,0.16943,2.9551,0.54075,0
SIM_VIB_00267,1.45147,52.1001,3.50025,1
SIM_VIB_00268,0.78157,13.7418,2.25423,1
SIM_VIB_00269,0.76872,23.4085,2.27466,1
SIM_VIB_00270,0.95735,24.0482,3.66073,1
SIM_VIB_00271,0.27846,12.5534,0.78337,0
SIM_VIB_00272,0.26069,15.5813,0.55129,0
SIM_VIB_00273,2.0578,25.2545,6.98565,1
SIM_VIB_00274,0.63374,22.6604,1.95304,1
SIM_VIB_00275,0.32394,5.4339,0.93039,0
SIM_VIB_00276,0.20484,12.5695,0.70558,0
SIM_VIB_00277,1.32373,28.8488,3.74637,1
SIM_VIB_00278,0.20232,6.9335,0.65436,0
SIM_VIB_00279,1.16572,29.4882,3.75851,1
SIM_VIB_00280,0.06056,5.6479,0.8813,0
SIM_VIB_00281,0.91937,29.2661,2.84407,1
SIM_VIB_00282,0.30359,8.8272,0.77215,0
SIM_VIB_00283,0.40219,16.8996,0.85647,0
SIM_VIB_00284,0.37304,13.4924,0.91036,0
SIM_VIB_00285,0.23009,10.0617,0.74519,0
SIM_VIB_00286,0.22309,5.1207,0.62003,0
SIM_VIB_00287,0.28837,13.9092,0.82478,0
SIM_VIB_00288,0.72171,13.5969,1.69224,1
SIM_VIB_00289,1.40505,43.3168,3.93624,1
SIM_VIB_00290,0.72251,22.4854,2.31282,1
SIM_VIB_00291,0.73965,36.9651,1.61566,1
SIM_VIB_00292,0.93657,18.2836,1.92498,1
SIM_VIB_00293,0.25583,16.3476,0.77116,0
SIM_VIB_00294,0.17997,5.4142,0.54482,0
SIM_VIB_00295,0.24052,7.3265,0.80198,0
SIM_VIB_00296,1.67065,46.1108,3.5861,1
SIM_VIB_00297,0.56397,26.2175,1.6888,1
SIM_VIB_00298,0.18701,1.0,0.54685,0
SIM_VIB_00299,0.70181,36.6871,2.36161,1
SIM_VIB_00300,0.34299,9.082,0.70447,0
SIM_VIB_00301,0.26192,6.3983,0.52954,0
SIM_VIB_00302,0.2438,8.7368,0.52387,0
SIM_VIB_00303,1.60917,38.5313,4.05458,1
SIM_VIB_00304,0.12587,10.5981,0.37333,0
SIM_VIB_00305,2.0663,37.4961,6.56064,1
SIM_VIB_00306,0.09674,8.8561,0.48028,0
SIM_VIB_00307,1.72554,28.8703,4.63452,1
SIM_VIB_00308,0.30315,5.3201,0.95104,0
SIM_VIB_00309,1.01507,32.6969,3.83279,1
SIM_VIB_00310,0.1259,6.9935,0.42135,0
SIM_VIB_00311,0.33388,2.356,0.75753,0
SIM_VIB_00312,0.23885,12.6983,0.77511,0
SIM_VIB_00313,0.32911,2.2728,0.61564,0
SIM_VIB_00314,0.19725,8.3588,0.58837,0
SIM_VIB_00315,2.01152,54.5283,5.86977,1
SIM_VIB_00316,0.03,5.0521,0.81799,0
SIM_VIB_00317,0.27081,20.3812,0.46779,0
SIM_VIB_00318,0.27994,10.6539,0.65142,0
SIM_VIB_00319,0.33022,16.2481,0.90394,0
SIM_VIB_00320,0.23168,6.8337,0.48331,0
SIM_VIB_00321,0.17514,12.3118,0.4117,0
SIM_VIB_00322,2.16977,35.9411,4.34914,1
SIM_VIB_00323,0.26904,16.9248,0.55889,0
SIM_VIB_00324,0.72156,14.7301,2.7393,1
SIM_VIB_00325,0.60658,25.3352,2.28981,1
SIM_VIB_00326,0.79295,13.563,2.50288,1
SIM_VIB_00327,0.27001,1.0,0.82445,0
SIM_VIB_00328,0.23685,7.7335,0.71143,0
SIM_VIB_00329,0.43895,30.1265,1.50747,1
SIM_VIB_00330,0.71607,9.6124,1.99604,1
SIM_VIB_00331,0.61089,20.2467,1.6985,1
SIM_VIB_00332,0.3017,20.2003,0.92414,0
SIM_VIB_00333,1.45315,12.8804,4.95225,1
SIM_VIB_00334,0.12523,11.4454,0.38736,0
SIM_VIB_00335,1.02091,43.3416,2.50852,1
SIM_VIB_00336,0.21806,7.2145,0.65109,0
SIM_VIB_00337,0.07577,15.6811,0.51441,0
SIM_VIB_00338,0.20747,12.7102,0.72489,0
SIM_VIB_00339,0.89937,42.8158,2.6882,1
SIM_VIB_00340,0.7205,21.7968,1.52587,1
SIM_VIB_00341,0.29161,9.6838,0.73186,0
SIM_VIB_00342,0.18723,9.0198,0.3975,0
SIM_VIB_00343,0.29581,8.8323,0.93312,0
SIM_VIB_00344,0.14715,10.0384,0.59066,0
SIM_VIB_00345,0.2224,14.7774,0.65138,0
SIM_VIB_00346,0.22094,4.1825,0.60123,0
SIM_VIB_00347,0.16695,8.8274,0.38282,0
SIM_VIB_00348,0.72603,19.2443,1.56171,1
SIM_VIB_00349,0.33921,12.9534,1.0464,0
SIM_VIB_00350,0.10292,5.13,0.37339,0
SIM_VIB_00351,1.52985,19.5262,3.13347,1
SIM_VIB_00352,0.10993,11.6459,0.64261,0
SIM_VIB_00353,0.87881,20.2117,2.59441,1
SIM_VIB_00354,1.63167,41.9553,3.72825,1
SIM_VIB_00355,0.78111,17.2166,2.51425,1
SIM_VIB_00356,0.60889,22.3486,2.03713,1
SIM_VIB_00357,1.4005,57.8344,4.14006,1
SIM_VIB_00358,1.64719,42.3794,4.81373,1
SIM_VIB_00359,0.14329,6.1946,0.50818,0
SIM_VIB_00360,1.50931,46.2563,3.71164,1
SIM_VIB_00361,0.22517,19.3742,0.369,0
SIM_VIB_00362,0.20108,12.1408,0.83368,0
SIM_VIB_00363,0.0522,7.6935,0.60351,0
SIM_VIB_00364,0.29997,9.6881,0.85792,0
SIM_VIB_00365,0.17231,13.4286,0.5534,0
SIM_VIB_00366,2.04438,34.8121,5.15644,1
SIM_VIB_00367,0.75603,20.2414,2.53982,1
SIM_VIB_00368,0.27696,5.2117,0.93974,0
SIM_VIB_00369,0.24857,3.6558,0.66935,0
SIM_VIB_00370,0.33377,6.8691,0.87646,0
SIM_VIB_00371,0.19221,7.7119,0.40676,0
SIM_VIB_00372,0.93239,51.1528,3.21865,1
SIM_VIB_00373,0.19135,7.4268,0.43496,0
SIM_VIB_00374,0.03437,7.9543,0.29704,0
SIM_VIB_00375,0.96862,40.3038,3.28196,1
SIM_VIB_00376,0.28995,12.4723,0.81882,0
SIM_VIB_00377,0.271,6.5636,0.71542,0
SIM_VIB_00378,0.3373,12.5753,0.72436,0
SIM_VIB_00379,0.27413,14.5293,0.74581,0
SIM_VIB_00380,0.19744,12.3273,0.60886,0
SIM_VIB_00381,0.66789,24.813,2.13822,1
SIM_VIB_00382,0.09135,7.1771,0.48305,0
SIM_VIB_00383,2.06003,50.1214,5.61499,1
SIM_VIB_00384,1.41729,41.3362,4.28603,1
SIM_VIB_00385,0.26341,5.9396,0.66692,0
SIM_VIB_00386,1.23344,45.3806,3.96627,1
SIM_VIB_00387,2.12616,36.2428,6.992,1
SIM_VIB_00388,0.2574,1.5891,0.67385,0
SIM_VIB_00389,0.67338,28.3657,1.61507,1
SIM_VIB_00390,0.87769,27.8006,2.76043,1
SIM_VIB_00391,1.95869,45.4285,4.98778,1
SIM_VIB_00392,0.16466,5.4457,0.5663,0
SIM_VIB_00393,1.18541,25.0439,4.09727,1
SIM_VIB_00394,0.14478,5.3793,0.76741,0
SIM_VIB_00395,1.73981,47.5452,3.95048,1
SIM_VIB_00396,0.24319,5.0991,0.51467,0
SIM_VIB_00397,0.3661,7.0072,0.93988,0
SIM_VIB_00398,0.28347,2.6722,0.65183,0
SIM_VIB_00399,0.30415,8.1687,0.76226,0
SIM_VIB_00400,1.32034,33.7458,4.4437,1
SIM_VIB_00401,1.86309,47.3046,5.06812,1
SIM_VIB_00402,0.14792,2.4371,0.34035,0
SIM_VIB_00403,1.70475,18.644,4.93682,1
SIM_VIB_00404,0.30769,9.6706,0.77513,0
SIM_VIB_00405,0.3151,9.9178,0.81085,0
SIM_VIB_00406,0.19,3.5928,0.53669,0
SIM_VIB_00407,0.92908,21.4887,2.1656,1
SIM_VIB_00408,0.19869,12.135,0.37701,0
SIM_VIB_00409,0.83518,31.3371,2.19906,1
SIM_VIB_00410,0.19546,7.6256,0.55098,0
SIM_VIB_00411,0.76511,23.0394,2.28431,1
SIM_VIB_00412,0.25846,19.5059,0.62379,0
SIM_VIB_00413,0.31905,8.007,0.67662,0
SIM_VIB_00414,0.46954,13.5451,1.90956,1
SIM_VIB_00415,0.12548,4.9117,0.33122,0
SIM_VIB_00416,0.28468,17.9192,0.5168,0
SIM_VIB_00417,0.27214,10.6987,0.8612,0
SIM_VIB_00418,0.28178,9.1072,0.63876,0
SIM_VIB_00419,0.61501,20.1752,2.1482,1
SIM_VIB_00420,0.94074,28.9085,2.9728,1
SIM_VIB_00421,1.48054,57.8991,3.84754,1
SIM_VIB_00422,0.85728,22.2287,2.03267,1
SIM_VIB_00423,0.27095,6.6145,0.98275,0
SIM_VIB_00424,0.21179,10.9885,0.44846,0
SIM_VIB_00425,0.22737,9.7815,0.63072,0
SIM_VIB_00426,0.29898,15.735,0.56736,0
SIM_VIB_00427,0.25682,13.0387,0.87418,0
SIM_VIB_00428,0.28735,15.8032,0.82312,0
SIM_VIB_00429,1.23797,42.32,3.20073,1
SIM_VIB_00430,0.98163,30.7593,2.34524,1
SIM_VIB_00431,0.34743,8.7978,0.78623,0
SIM_VIB_00432,0.36021,4.9831,0.75213,0
SIM_VIB_00433,0.03926,15.8924,0.65475,0
SIM_VIB_00434,0.13061,4.6539,0.78029,0
SIM_VIB_00435,0.26619,12.7026,0.92483,0
SIM_VIB_00436,0.12944,12.039,0.4807,0
SIM_VIB_00437,0.03,4.9634,0.48375,0
SIM_VIB_00438,0.16059,7.2222,0.48466,0
SIM_VIB_00439,0.31088,5.9972,0.95833,0
SIM_VIB_00440,0.66825,20.0658,1.91925,1
SIM_VIB_00441,0.09474,4.7889,0.7561,0
SIM_VIB_00442,0.19547,8.988,0.39008,0
SIM_VIB_00443,0.3126,12.8185,0.91411,0
SIM_VIB_00444,0.25303,8.1457,0.89193,0
SIM_VIB_00445,0.31832,30.1448,0.78425,1
SIM_VIB_00446,1.12147,38.5043,3.89729,1
SIM_VIB_00447,0.23755,1.5903,0.69522,0
SIM_VIB_00448,0.44477,16.1276,1.35171,0
SIM_VIB_00449,0.72068,15.1529,1.56378,1
SIM_VIB_00450,0.41951,7.9507,1.35566,0
SIM_VIB_00451,0.23106,17.5527,0.77526,0
SIM_VIB_00452,1.31706,43.6211,4.00235,1
SIM_VIB_00453,0.19947,11.9322,0.41145,0
SIM_VIB_00454,0.64181,19.0039,1.84357,1
SIM_VIB_00455,0.1781,6.8262,0.5449,0
SIM_VIB_00456,1.33412,20.4031,3.43105,1
SIM_VIB_00457,0.30511,1.0,0.86407,0
SIM_VIB_00458,0.80059,20.6862,2.34166,1
SIM_VIB_00459,0.09497,3.7398,0.36748,0
SIM_VIB_00460,0.11001,10.5792,0.48809,0
SIM_VIB_00461,0.24102,10.1855,0.73412,0
SIM_VIB_00462,0.24674,3.6883,0.71765,0
SIM_VIB_00463,0.80925,25.7037,1.81409,1
SIM_VIB_00464,0.21959,12.3568,0.48185,0
SIM_VIB_00465,0.56758,30.4669,1.90908,1
SIM_VIB_00466,0.63784,19.1695,1.18174,1
SIM_VIB_00467,0.03,13.4423,0.46015,0
SIM_VIB_00468,0.18891,9.7523,0.50836,0
SIM_VIB_00469,0.15735,1.0,0.56483,0
SIM_VIB_00470,0.10824,12.5969,0.55815,0
SIM_VIB_00471,0.75882,34.6336,2.12925,1
SIM_VIB_00472,1.80736,39.6322,5.88095,1
SIM_VIB_00473,0.27886,11.0386,0.76661,0
SIM_VIB_00474,0.20683,16.6022,0.54948,0
SIM_VIB_00475,0.27035,7.5931,0.68763,0
SIM_VIB_00476,0.21929,8.4506,0.79383,0
SIM_VIB_00477,0.83602,12.431,2.49988,1
SIM_VIB_00478,0.30198,2.7379,1.00141,0
SIM_VIB_00479,0.13459,8.1215,0.4394,0
SIM_VIB_00480,0.21414,15.8444,0.63932,0
SIM_VIB_00481,0.14476,17.0904,0.44457,0
SIM_VIB_00482,0.2793,6.9209,0.85524,0
SIM_VIB_00483,1.77539,37.7884,3.91235,1
SIM_VIB_00484,2.34677,48.4061,5.13403,1
SIM_VIB_00485,0.92648,10.8459,2.23961,1
SIM_VIB_00486,0.87793,19.0859,2.84317,1
SIM_VIB_00487,0.2826,6.6567,0.77198,0
SIM_VIB_00488,0.16709,14.0206,0.80445,0
SIM_VIB_00489,0.43078,9.5732,0.90043,0
SIM_VIB_00490,0.15126,12.447,0.38929,0
SIM_VIB_00491,1.24631,32.0705,3.8701,1
SIM_VIB_00492,0.28773,18.5354,0.8463,0
SIM_VIB_00493,1.79829,49.9585,6.11713,1
SIM_VIB_00494,0.08134,10.0182,0.38191,0
SIM_VIB_00495,0.15193,13.8151,0.65582,0
SIM_VIB_00496,0.18052,15.0776,0.60006,0
SIM_VIB_00497,0.6045,21.5063,1.53501,1
SIM_VIB_00498,0.25279,9.2698,0.57779,0
